siret,nom,ville,code_postal,activite,effectif
30098772400048,BISCUITERIE LOUIS LE GOFF,,,,
30105866500029,MORNAY,,,,
30116925600015,ETABLISSEMENTS BONNY,,,,
30121321100107,FRANCE SELECT,,,,
30152290000317,BISCUITERIE LA TRINITAINE,,,,
30152318900027,CAFES RIVAL,,,,
30152290000325,BISCUITERIE LA TRINITAINE,,,,
25580170600011,SYND INTERCOM ABATTOIR DU SUD MORVAN,,,,
30050091500024,SA MOUILLE MICHEL,,,,
06580450200014,SOCIETE PHOCEENNE DE TORREFACTION,,,,
06630864400013,TOP SAMOUSSAS,,,,
07140473500020,BERSET,,,,
08652030100028,PAINSOL,,,,
08692010500029,SAFAC-ETS BOSC ET FILS,,,,
02407085600034,HOUDJATI,,,,
02718038900028,LE CLOS MARTIN,,,,
04575081700079,LEROUX,,,,
04644131700024,MASSON,,,,
05782126600087,MAISON CANTINI FLANDIN,,,,
06080034900023,SOCIETE TARDY,,,,
02407085600018,HOUDJATI,,,,
31038952300039,MENE,,,,
31064372100015,ENTREPOTS RENNAIS,,,,
31072715100022,FRANCOIS DOUCET CONFISEUR,,,,
31079930900037,VIOLETTE,,,,
31081757200053,PERINET,,,,
31083907100019,FARM FRITES MONTIGNY,,,,
31101406200021,PATOUILLARD,,,,
30892179000025,BEAULIEU TORREFACTION,,,,
30926268100047,THOMAS,,,,
30933264100013,HORSE TECHNA,,,,
30937599600035,PANATTONI,,,,
30953219000027,RICCIO,,,,
30970652100049,ETS THERON CAFE RICHET,,,,
31007114700022,PATES KALLISTE,,,,
31022753300059,ETABLISSEMENTS LE STER,,,,
30880931800022,DURANT,,,,
31101406200039,PATOUILLARD,,,,
30542722100026,COUTANT,,,,
30575594400033,SOVICA LOTTIN,,,,
30580472600167,BANZET,,,,
30592969700020,CELINI,,,,
30621366100102,LOUETTE,,,,
30469120700043,KAFETA,,,,
30480385100043,VETALIS,,,,
30483986300012,CONSERVERIE DE CASATORRA,,,,
30489519600018,DONADEL,,,,
30499204300030,TIPIAK PLATS CUISINES SURGELES,,,,
30500155400016,BENQUET,,,,
30505150000059,GRIMAZ,,,,
30516308100022,CAFES SUAVOR,,,,
30524507800079,PONS,,,,
30361000000018,MIRAOUI,,,,
30387507400039,HIGH LEVEL RESEARCH,,,,
30478697300020,MAISON LEOPOLD MARLIAGUES,,,,
30595686400022,PERRICHOT,,,,
30616856800039,GRANDJEAN,,,,
30362817600065,ARIK LABORATOIRES,,,,
30401265100051,ETABLISSEMENTS LETUFFE,,,,
30758440900048,KRUSTANORD,,,,
30766758400022,SA COUDENE MICHEL,,,,
30766710500034,SERVAIS,,,,
30844885100045,DELABLI,,,,
30319410400053,GRAND BOIS,,,,
30332670600023,SEGONZAC,,,,
30335547300024,VILOFOSS,,,,
30185026900012,KUBLI,,,,
30198296300151,TROIS BLASONS,,,,
30207016400017,SOCIETE BRUN SARL,,,,
30207946200156,NESTLE PURINA PETCARE FRANCE,,,,
30214978600071,CHAROLLET,,,,
30245536500023,COMPLEXE INTERNATIONAL DU BETAIL ET DES VIANDES DE LYON,,,,
30252761900050,BONCOLAC TRAITEUR,,,,
30171034900012,SOCIETE LA CREQUOISE,,,,
30171034900020,SOCIETE LA CREQUOISE,,,,
31127412000022,CHANTILLY GLACES - MAISON TRUEBA,,,,
31149225000049,GROUPE BARBA,,,,
31157819900045,GORON,,,,
31182126800076,SAINT JEAN,,,,
31197466100101,SOCIETE DES CAFES CHAPUIS,,,,
31223984100025,FRIGEL,,,,
31223911400019,SOCIETE DANY GELOEN,,,,
31304478600017,BARABANT,,,,
31304816700032,VALAT,,,,
31795990600031,SOCIETE DES CAFES BRAND - LE PETIT PLANTEUR,,,,
31805516700031,BLASON D'OR SAS,,,,
31817517100038,LES CRAQUELINS DE SAINT-MALO,,,,
31822643800048,COOPERATIVE SICA REUNION VIANDE,,,,
31822855800017,SOCIETE CIGALOISE DE CHEVILLE,,,,
31833842300045,SOFIVO PRODUCTION,,,,
31833842300136,SOFIVO PRODUCTION,,,,
31844591300037,CAFE LAUNAY,,,,
31847482200141,LES CAFES HENRI SA,,,,
31847482200208,LES CAFES HENRI SA,,,,
32218495300048,PEDRONO,,,,
32230419700021,WHAT'S COOKING FRANCE,,,,
32263422100038,BURGALAT,,,,
32282441800022,MAZARS,,,,
32316606600056,CATALAN,,,,
32327496900027,BERNET,,,,
32129161900021,FRUITAM IN,,,,
32151307900020,SARL BONBONS VERDIER,,,,
32055569100049,MAYEUX,,,,
32072492500013,MARQUET,,,,
32091009400012,TURQUETY,,,,
32183480600010,SOCIETE DE DISTRIBUTION DES VINS DE COOPERATIVE,,,,
32183480600036,SOCIETE DE DISTRIBUTION DES VINS DE COOPERATIVE,,,,
32186835800060,BACHELET,,,,
32205000600038,BOUCHET,,,,
32337491800023,BISCUITERIE LOUVAT,,,,
32341997800032,SOCIETE BETAIL VIANDE DU LIMOUSIN,,,,
31442822800014,SA MILLERET,,,,
31469638600064,SOCIETE GEL MANCHE,,,,
31480221600023,MARTEL,,,,
31375249500033,ETABLISSEMENT MARCEL BAEY,,,,
31868436200011,SOCIETE FOREZIENNE D'ABATTAGE,,,,
31869160700036,RIVARD,,,,
31869160700044,RIVARD,,,,
31869160700051,RIVARD,,,,
31878493100012,LES GLACES DE L'ARDECHE,,,,
31878493100038,LES GLACES DE L'ARDECHE,,,,
31879542400023,OCTUVON-BAZILE,,,,
31897858200035,LE CRAS,,,,
31904927600078,GUASCH & FILS,,,,
31904494700038,MAZURE,,,,
31905050600033,ORIAC  SDC,,,,
31905050600066,ORIAC  SDC,,,,
31996642000014,[ND],,,,
32025976500024,BOYAUDERIE DU POITOU,,,,
31925281300112,LA FRAISERAIE SAS,,,,
31925281300179,LA FRAISERAIE SAS,,,,
31939966300065,NARANIN,,,,
31942840500074,CAFES ERREL,,,,
31947939000027,GOBERT,,,,
31947640400029,GIACOMETTI,,,,
31954394800131,NESTLE HEALTH SCIENCE FRANCE,,,,
31960187800022,OURY,,,,
31963207100019,KERVEILLANT,,,,
31603906400019,SOCIETE DE TRAITEMENT DE MATIERES ORGANIQUES - SOTRAMO,,,,
31610130200032,SUD AVEYRON VIANDES,,,,
31653504600031,ATELIER FOREZIEN DU FRAIS,,,,
31653504600015,ATELIER FOREZIEN DU FRAIS,,,,
31659169200017,ETABLISSEMENTS LENGRAND,,,,
31662075600056,CONEGAN,,,,
31667398700038,CAILLES ROBIN,,,,
31701932100031,POTTIER,,,,
31509512500011,DARDEAU,,,,
31509512500029,DARDEAU,,,,
31524982100077,HAVEA COMMERCIAL SERVICES,,,,
31556571300031,ETS BARRE,,,,
31723806100152,BOUCHERS SERVICES,,,,
31723806100160,BOUCHERS SERVICES,,,,
31723806100178,BOUCHERS SERVICES,,,,
